taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred	pectoral_propagated	pelvic_propagated
Phoxinus sp. 1b AP-2015	?	?	?	?	?	?
Phoxinus sp. 2 AP-2015	?	?	?	?	?	?
Phoxinus sp. 3 AP-2015	?	?	?	?	?	?
Phoxinus sp. 4 AP-2015	?	?	?	?	?	?
Phoxinus sp. 7 AP-2015	?	?	?	?	?	?
Phoxinus sp. MOR2	?	?	?	?	?	?
Phoxinus sp. 8 AP-2015	?	?	?	?	?	?
Phoxinus sp. 1d AP-2015	?	?	?	?	?	?
Phoxinus sp. 1c AP-2015	?	?	?	?	?	?
Phoxinus sp. MIL1r	?	?	?	?	?	?
Phoxinus sp. Ex63A4	?	?	?	?	?	?
Phoxinus sp. Ex67E10	?	?	?	?	?	?
Phoxinus sp. Ex68A4	?	?	?	?	?	?
Phoxinus sp. Ex79B12	?	?	?	?	?	?
Phoxinus sp. Ex81D6	?	?	?	?	?	?
Rutilus ohridanus	?	?	?	?	?	?
Rutilus ylikiensis	?	?	?	?	?	?
Rutilus basak	?	?	?	?	?	?
Rutilus prespensis	?	?	?	?	?	?
Rutilus frisii	?	?	?	?	?	?
Rutilus rutilus	?	?	?	?	?	?
Rutilus albus	?	?	?	?	?	?
Rutilus vegariticus	?	?	?	?	?	?
Rutilus virgo	?	?	?	?	?	?
Rutilus panosi	?	?	?	?	?	?
Rutilus pigus	?	?	?	?	?	?
Rutilus aula	?	?	?	?	?	?
Rutilus karamani	?	?	?	?	?	?
Rutilus heckelii	?	?	?	?	?	?
Rutilus meidingeri	?	?	?	?	?	?
Rutilus kutum	?	?	?	?	?	?
Rutilus sp. BOLD:ABY5438	?	?	?	?	?	?
Rutilus sp. BOLD:ACL6473	?	?	?	?	?	?
Alburnoides sp. 1 MS-2012	?	?	?	?	?	?
Alburnoides kubanicus	?	?	?	?	?	?
Alburnoides fasciatus	?	?	?	?	?	?
Alburnoides sp. 2 MS-2012	?	?	?	?	?	?
Alburnoides sp. 5 JM-2015	?	?	?	?	?	?
Alburnoides sp. 2 JM-2010	?	?	?	?	?	?
Alburnoides cf. prespensis JM-2015	?	?	?	?	?	?
Alburnoides sp. 1 JM-2010	?	?	?	?	?	?
Alburnoides prespensis	?	?	?	?	?	?
Alburnoides bipunctatus	?	?	?	?	?	?
Alburnoides ohridanus	?	?	?	?	?	?
Alburnoides fangfangae	?	?	?	?	?	?
Alburnoides gmelini	?	?	?	?	?	?
Alburnoides namaki	?	?	?	?	?	?
Alburnoides devolli	?	?	?	?	?	?
Alburnoides varentsovi	?	?	?	?	?	?
Alburnoides petrubanarescui	?	?	?	?	?	?
Alburnoides idignensis	?	?	?	?	?	?
Alburnoides qanati	?	?	?	?	?	?
Alburnoides taeniatus	?	?	?	?	?	?
Alburnoides eichwaldii	?	?	?	?	?	?
Alburnoides nicolausi	?	?	?	?	?	?
Alburnoides oblongus	?	?	?	?	?	?
Alburnoides sp. BOLD:ACL6632	?	?	?	?	?	?
Alburnoides sp. 4 JM-2015	?	?	?	?	?	?
Alburnoides maculatus	?	?	?	?	?	?
Alburnoides sp. 3 JM-2015	?	?	?	?	?	?
Alburnoides coadi	?	?	?	?	?	?
Alburnoides holciki	?	?	?	?	?	?
Alburnoides samiii	?	?	?	?	?	?
Alburnoides sp. HRE-2016	?	?	?	?	?	?
Alburnoides tabarestanensis	?	?	?	?	?	?
Alburnoides thessalicus	?	?	?	?	?	?
Chondrostoma soetta	?	?	?	?	?	?
Chondrostoma oxyrhynchum	?	?	?	?	?	?
Chondrostoma phoxinus	?	?	?	?	?	?
Chondrostoma vardarense	?	?	?	?	?	?
Chondrostoma knerii	?	?	?	?	?	?
Chondrostoma angorense	?	?	?	?	?	?
Chondrostoma regium	?	?	?	?	?	?
Chondrostoma fahirae	?	?	?	?	?	?
Chondrostoma prespense	?	?	?	?	?	?
Chondrostoma holmwoodii	?	?	?	?	?	?
Chondrostoma nasus	?	?	?	?	?	?
Chondrostoma kubanicum	?	?	?	?	?	?
Chondrostoma colchicum	?	?	?	?	?	?
Chondrostoma adspersus	?	?	?	?	?	?
Chondrostoma alburnoides	?	?	?	?	?	?
Chondrostoma jadovensis	?	?	?	?	?	?
Chondrostoma krbavensis	?	?	?	?	?	?
Chondrostoma ghetaldii	?	?	?	?	?	?
Chondrostoma scodrense	?	?	?	?	?	?
Chondrostoma kinzelbachi	?	?	?	?	?	?
Chondrostoma variabile	?	?	?	?	?	?
Chondrostoma cyri	?	?	?	?	?	?
Chondrostoma beysehirense	?	?	?	?	?	?
Chondrostoma orientale	?	?	?	?	?	?
Chondrostoma meandrense	?	?	?	?	?	?
Chondrostoma sp. MNCNHUEBRA1	?	?	?	?	?	?
Chondrostoma sp. MNCNLU1264	?	?	?	?	?	?
Chondrostoma sp. MNCN1745AT	?	?	?	?	?	?
Chondrostoma sp. AT2859	?	?	?	?	?	?
Chondrostoma sp. BA764	?	?	?	?	?	?
Chondrostoma sp. MNCN1663AT	?	?	?	?	?	?
Chondrostoma sp. MNCNturones2097	?	?	?	?	?	?
Chondrostoma sp. BOLD:AAD7920	?	?	?	?	?	?
Chondrostoma ohridanus	?	?	?	?	?	?
Pseudochondrostoma polylepis	?	1	?	2	0	0
Pseudochondrostoma duriense	?	?	?	?	?	?
Pseudochondrostoma willkommii	?	?	?	?	?	?
Iberochondrostoma almacai	?	?	?	?	?	?
Iberochondrostoma lemmingii	?	?	?	?	?	?
Iberochondrostoma oretanum	?	?	?	?	?	?
Iberochondrostoma olisiponensis	?	?	?	?	?	?
Iberochondrostoma lusitanicum	?	?	?	?	?	?
Phoxinellus alepidotus	?	?	?	?	?	?
Phoxinellus pseudalepidotus	?	?	?	?	?	?
Phoxinellus dalmaticus	?	?	?	?	?	?
Telestes ukliva	?	?	?	?	?	?
Telestes fontinalis	?	?	?	?	?	?
Telestes metohiensis	?	?	?	?	?	?
Telestes croaticus	?	?	?	?	?	?
Telestes karsticus	?	?	?	?	?	?
Telestes pleurobipunctatus	?	?	?	?	?	?
Telestes alfiensis	?	?	?	?	?	?
Telestes muticellus	?	?	?	?	?	?
Telestes souffia	?	?	?	?	?	?
Telestes turskyi	?	?	?	?	?	?
Telestes polylepis	?	?	?	?	?	?
Telestes montenegrinus	?	?	?	?	?	?
Telestes sp. SP-2010	?	?	?	?	?	?
Telestes miloradi	?	?	?	?	?	?
Telestes dabar	?	?	?	?	?	?
Pseudophoxinus beoticus	?	?	?	?	?	?
Pseudophoxinus kervillei	?	?	?	?	?	?
Pseudophoxinus cf. kervillei SP-2010	?	?	?	?	?	?
Pseudophoxinus egridiri	?	?	?	?	?	?
Pseudophoxinus ninae	?	?	?	?	?	?
Pseudophoxinus zeregi	?	?	?	?	?	?
Pseudophoxinus zekayi	?	?	?	?	?	?
Pseudophoxinus anatolicus	?	?	?	?	?	?
Pseudophoxinus crassus	?	?	?	?	?	?
Pseudophoxinus handlirschi	?	?	?	?	?	?
Pseudophoxinus battalgilae	?	?	?	?	?	?
Pseudophoxinus antalyae	?	?	?	?	?	?
Pseudophoxinus maeandri	?	?	?	?	?	?
Pseudophoxinus cf. anatolicus	?	?	?	?	?	?
Pseudophoxinus sp. 'Gogdeli Hot Springs'	?	?	?	?	?	?
Pseudophoxinus alii	?	?	?	?	?	?
Pseudophoxinus sp. SP-2010	?	?	?	?	?	?
Pseudophoxinus libani	?	?	?	?	?	?
Pseudophoxinus fahrettini	?	?	?	?	?	?
Pseudophoxinus drusensis	?	?	?	?	?	?
Pseudophoxinus evliyae	?	?	?	?	?	?
Pseudophoxinus hittitorum	?	?	?	?	?	?
Pseudophoxinus maeandricus	?	?	?	?	?	?
Pseudophoxinus syriacus	?	?	?	?	?	?
Pseudophoxinus hasani	?	?	?	?	?	?
Pseudophoxinus firati	?	?	?	?	?	?
Pseudophoxinus atropatenus	?	?	?	?	?	?
Pseudophoxinus sojuchbulagi	?	?	?	?	?	?
Pseudophoxinus elizavetae	?	?	?	?	?	?
Pseudophoxinus caralis	?	?	?	?	?	?
Pseudophoxinus sp. BOLD:ACB5429	?	?	?	?	?	?
Pseudophoxinus sp. BOLD:ACB6378	?	?	?	?	?	?
