taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred
Cichlasoma_ornatum	?	1	?	2
Hozukius_guyotensis	1	?	2	?
Alestopetersius_hilgendorfi	1	1	2	2
Caenotropus_mestomorgmatos	?	1	?	2
Laemolyta_garmani	?	1	?	2
Leporinus_agassizii	?	1	?	2
Moxostoma_mascotae	?	1	?	2
Scleropages_formosus	1	1	2	1
Corydoras_bertoni	1	?	2	?
Liobagrus_marginatus	1	?	2	?
Erethistidae	1	?	2	?
Albula_sp._(Fink_and_Fink_1981)	1	1	2	1
Microdevario_kubotai	1	?	2	?
Corydoras_axelrodi	1	?	2	?
Rasbora_vaterifloris	1	?	2	?
Dianema_urostriatum	1	1	2	2
Esox_reichertii	?	1	?	2
Parodon_caliensis	1	1	2	1
Elassodiscus_tremebundus	1	?	2	?
Monacanthus_ciliatus	?	1	?	1
Notropis_chiliticus	1	1	2	2
Ageneiosus_pardalis	?	1	?	2
Acrobrycon_sp._(Burns_et_al_1995)	?	1	?	2
Alosa_mediocris	?	1	?	1
Lile_stolifera	?	1	?	2
Brycinus_kingsleyae	1	1	2	2
Leporinus_ortomaculatus	?	1	?	2
Moxostoma_valenciennesi	?	1	?	2
Indonotothenia	1	?	2	?
Devario_malabaricus	?	1	?	2
Copionodon_orthiocarinatus	1	?	2	?
Parasilurus_asotus	1	1	2	2
Cetengraulis_edentulus	?	1	?	1
Pseudanos_trimaculatus	?	1	?	2
Brachypetersius_altus	1	1	2	2
Gila_pandora	?	1	?	2
Hybopsis_rubrifrons	1	1	2	2
Brachypetersius_gabonensis	1	1	2	2
Clupeichthys_bleekeri	?	1	?	2
Pteronotropis_hypselopterus	1	1	2	2
Parachela_oxygastroides	?	1	?	2
Lepidoblepharon_ophthalmolepis	?	1	?	2
Ixinandria_sp._(Britto_2003)	1	?	2	?
Corydoras_leucomelas	1	?	2	?
Erimystax	1	?	2	?
Ictalurus_pricei	1	1	2	2
Squalius_pyrenaicus	?	1	?	2
Iotabrycon_praecox	?	1	?	2
Chlorophthalmidae	?	1	?	2
Leporinus_tigrinus	?	1	?	2
Phenacobius_mirabilis	1	1	2	2
Mirapinnidae	?	1	?	2
Diplomystidae	1	?	2	?
Neoscopelidae	?	1	?	2
Notropis_buchanani	1	1	2	2
Petrocephalus	?	1	?	1
Gephyrocharax_chocoensis	?	1	?	2
Liparis_fabricii	1	?	2	?
Tatia_boemia	1	?	2	?
Distichodus_notospilus	1	1	2	1
Hisonotus_nigricauda	1	?	2	?
Moxostoma_lachneri	?	1	?	2
Notropis_hypsilepis	1	1	2	2
Cottoperca_gobio	1	?	2	?
Notropis_nazas	1	1	2	2
Ictaluridae	1	?	2	?
Schistura_spilota	1	1	2	1
