taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred	pectoral_propagated	pelvic_propagated
Pseudolabrus luculentus	1	?	1	?	1	0
Cymolutes torquatus	1	?	1	?	1	0
Cymolutes praetextatus	1	?	1	?	1	0
Cymolutes lecluse	1	?	1	?	1	0
Parajulis poecilepterus	1	?	1	?	1	0
Halichoeres zeylonicus	1	?	1	?	1	0
Notolabrus fucicola	1	?	1	?	1	0
Notolabrus gymnogenis	1	?	1	?	1	0
Notolabrus celidotus	1	?	1	?	1	0
Notolabrus tetricus	1	?	1	?	1	0
Notolabrus parilus	1	?	1	?	1	0
Notolabrus inscriptus	1	?	1	?	1	0
Notolabrus cinctus	1	?	1	?	1	0
Acantholabrus palloni	1	?	1	?	1	0
Labrus merula	1	1	2	2	1	1
Labrus viridis	1	1	2	2	1	1
Labrus bergylta	1	1	2	2	1	1
Labrus mixtus	1	1	2	2	1	1
Cheilinus fasciatus	1	1	2	2	0	0
Cheilinus oxycephalus	1	1	2	2	0	0
Cheilinus undulatus	1	1	2	2	0	0
Cheilinus chlorourus	1	1	2	2	0	0
Cheilinus trilobatus	1	1	2	2	0	0
Cheilinus lunulatus	1	1	2	2	0	0
Cheilinus abudjubbe	1	1	2	2	0	0
Halichoeres adustus	1	?	1	?	1	0
Halichoeres pictus	1	?	1	?	1	0
Cirrhilabrus lubbocki	1	1	2	2	1	1
Cirrhilabrus rubriventralis	1	1	2	2	1	1
Cirrhilabrus beauperryi	1	1	2	2	1	1
Cirrhilabrus punctatus	1	1	2	2	1	1
Cirrhilabrus scottorum	1	1	2	2	1	1
Cirrhilabrus rubrimarginatus	1	1	2	2	1	1
Cirrhilabrus flavidorsalis	1	1	2	2	1	1
Cirrhilabrus exquisitus	1	1	2	2	1	1
Cirrhilabrus cyanopleura	1	1	2	2	1	1
Cirrhilabrus temminckii	1	1	2	2	1	1
Cirrhilabrus claire	1	1	2	2	1	1
Cirrhilabrus adornatus	1	1	2	2	1	1
Cirrhilabrus katherinae	1	1	2	2	1	1
Cirrhilabrus morrisoni	1	1	2	2	1	1
Cirrhilabrus cenderawasih	1	1	2	2	1	1
Cirrhilabrus johnsoni	1	1	2	2	1	1
Cirrhilabrus lineatus	1	1	2	2	1	1
Cirrhilabrus balteatus	1	1	2	2	1	1
Cirrhilabrus rubrisquamis	1	1	2	2	1	1
Cirrhilabrus walindi	1	1	2	2	1	1
Cirrhilabrus filamentosus	1	1	2	2	1	1
Cirrhilabrus walshi	1	1	2	2	1	1
Cirrhilabrus roseafascia	1	1	2	2	1	1
Cirrhilabrus laboutei	1	1	2	2	1	1
Cirrhilabrus lanceolatus	1	1	2	2	1	1
Cirrhilabrus randalli	1	1	2	2	1	1
Cirrhilabrus luteovittatus	1	1	2	2	1	1
Cirrhilabrus aurantidorsalis	1	1	2	2	1	1
Cirrhilabrus rhomboidalis	1	1	2	2	1	1
Cirrhilabrus brunneus	1	1	2	2	1	1
Cirrhilabrus earlei	1	1	2	2	1	1
Cirrhilabrus jordani	1	1	2	2	1	1
Cirrhilabrus marjorie	1	1	2	2	1	1
Cirrhilabrus solorensis	1	1	2	2	1	1
Cirrhilabrus blatteus	1	1	2	2	1	1
Cirrhilabrus katoi	1	1	2	2	1	1
Cirrhilabrus tonozukai	1	1	2	2	1	1
Cirrhilabrus sanguineus	1	1	2	2	1	1
Cirrhilabrus condei	1	1	2	2	1	1
Cirrhilabrus naokoae	1	1	2	2	1	1
Cirrhilabrus joanallenae	1	1	2	2	1	1
Cirrhilabrus pylei	1	1	2	2	1	1
Cirrhilabrus lunatus	1	1	2	2	1	1
Cirrhilabrus bathyphilus	1	1	2	2	1	1
Cirrhilabrus rubripinnis	1	1	2	2	1	1
Cirrhilabrus melanomarginatus	1	1	2	2	1	1
Labroides pectoralis	1	?	1	?	1	0
Labroides bicolor	1	?	1	?	1	0
Labroides dimidiatus	1	?	1	?	1	0
Labroides phthirophagus	1	?	1	?	1	0
Labroides rubrolabiatus	1	?	1	?	1	0
Pseudocheilinus evanidus	1	1	2	2	1	1
Pseudocheilinus ocellatus	1	1	2	2	1	1
Pseudocheilinus hexataenia	1	1	2	2	1	1
Pseudocheilinus tetrataenia	1	1	2	2	1	1
Pseudocheilinus octotaenia	1	1	2	2	1	1
Pseudocheilinus dispilus	1	1	2	2	1	1
Pseudocheilinus citrinus	1	1	2	2	1	1
Stethojulis bandanensis	1	?	1	?	1	0
Stethojulis trilineata	1	?	1	?	1	0
Stethojulis strigiventer	1	?	1	?	1	0
Stethojulis balteata	1	?	1	?	1	0
Stethojulis albovittata	1	?	1	?	1	0
Stethojulis interrupta	1	?	1	?	1	0
Stethojulis terina	1	?	1	?	1	0
Stethojulis marquesensis	1	?	1	?	1	0
Stethojulis notialis	1	?	1	?	1	0
Stethojulis maculata	1	?	1	?	1	0
Paracheilinus mccoskeri	1	1	2	2	1	1
Paracheilinus carpenteri	1	1	2	2	1	1
